id,mz,rt,rtmin,rtmax,mean_inten,DPT-D-60m,DPT-H-60m,DPT-M-60m,DPT-R-60m
168,529.40228,3.7061,3.6204,3.8258,158800.0,37.05,6435.0,63.65,
169,563.2974,3.6829,3.5591,4.0712,205900.0,20310.0,19220.0,24770.0,23270.0
170,475.28116,3.7018,3.5916,4.0437,649600.0,72010.0,66500.0,82160.0,84810.0
172,429.23392,3.7149,3.6564,3.8997,159600.0,5965.0,5291.0,6374.0,6789.0
173,446.2606,3.7149,3.6776,3.7699,1038000.0,30950.0,30900.0,37530.0,37710.0
174,460.2398,3.7676,3.6908,3.9557,236600.0,8619.0,9450.0,9838.0,11150.0
175,460.28457,3.7812,3.7411,3.8419,285700.0,8248.0,7147.0,8499.0,8913.0
176,458.26027,3.7812,3.7122,3.8709,249200.0,8928.0,8595.0,9366.0,11300.0
177,459.28063,3.7812,3.7411,3.9934,1319000.0,50110.0,41110.0,49530.0,53090.0
178,476.30756,3.7812,3.7411,4.2723,7034000.0,292100.0,255200.0,302100.0,313700.0
179,504.33864,3.7812,3.7411,3.9934,1026000.0,35740.0,32370.0,37350.0,39640.0
180,430.22582,3.7812,3.6187,3.9502,156500.0,8904.0,11060.0,6404.0,14540.0
183,881.49841,3.8424,3.7537,3.9717,190100.0,227.0,183.0,14030.0,151.0
187,400.25477,3.8244,3.7555,4.2092,3536000.0,158700.0,151300.0,151100.0,172300.0
188,490.28672,3.8388,3.7537,4.2048,975200.0,45630.0,42130.0,44540.0,47210.0
189,518.31801,3.8388,3.7918,3.9269,304400.0,10400.0,9468.0,10590.0,11280.0
190,503.27608,3.8388,3.7555,4.2023,1311000.0,112100.0,110700.0,120700.0,133100.0
191,473.25989,3.8388,3.763,3.9861,121200.0,4272.0,3838.0,4450.0,4938.0
194,931.58288,3.9208,3.8131,4.0437,195200.0,105.6,,272.3,11210.0
197,414.23204,3.8812,3.7196,4.0278,285800.0,16020.0,13620.0,15820.0,17960.0
199,520.33409,3.8956,3.8495,4.4318,5949000.0,266200.0,229100.0,273800.0,288700.0
200,548.36509,3.8956,3.8495,4.0567,601200.0,23050.0,19660.0,24890.0,25140.0
201,734.85956,3.9704,3.8782,4.0856,107000.0,4139.0,113.4,116.7,46.73
202,474.2552,3.91,3.8632,3.9573,168100.0,6256.0,6575.0,7364.0,7676.0
203,503.3074,3.8956,3.8495,4.2189,632100.0,21260.0,52020.0,19310.0,19890.0
204,414.27022,3.9307,3.8113,4.0422,100800.0,3574.0,3436.0,8893.0,6796.0
205,562.34398,3.9451,3.8782,4.051,127600.0,4406.0,3779.0,4524.0,4865.0
206,534.31302,3.9451,3.8639,4.305,812500.0,33250.0,34830.0,34710.0,36240.0
211,416.24963,3.9667,3.9064,4.4606,19000000.0,958500.0,863200.0,968600.0,1026000.0
212,591.29222,3.8821,3.7537,4.2023,267500.0,19950.0,19720.0,21440.0,23020.0
213,444.28095,3.9667,3.9064,4.3482,2942000.0,125700.0,132500.0,144100.0,132200.0
214,421.20476,3.9703,3.9215,4.123,393000.0,18940.0,15200.0,18930.0,17870.0
215,564.36016,3.9955,3.9429,4.5173,4974000.0,218300.0,186500.0,229800.0,239800.0
216,592.39111,3.9955,3.9502,4.1,382600.0,14080.0,12410.0,15680.0,14220.0
217,547.33345,3.9955,3.9429,4.1863,337300.0,13090.0,11160.0,13570.0,13890.0
219,548.29212,3.9991,3.9285,4.2453,174800.0,7159.0,6467.0,7234.0,9064.0
221,419.15842,4.082,3.9603,4.1619,144800.0,1813.0,5871.0,1267.0,462.5
222,464.22855,4.0603,3.9603,4.2189,771800.0,680.1,34850.0,665.9,757.5
223,416.28589,4.1648,4.0898,4.4379,176600.0,17310.0,13220.0,8550.0,17120.0
225,531.2712,4.0207,3.9064,4.3174,1146000.0,61050.0,63880.0,68890.0,78490.0
226,518.28161,4.0243,3.907,4.123,176700.0,9196.0,6086.0,9632.0,8232.0
227,430.22918,4.0279,3.9702,4.1879,895600.0,34420.0,33480.0,38600.0,41160.0
229,458.25954,4.0315,3.9502,4.2867,299700.0,15930.0,12910.0,17360.0,16050.0
231,749.51741,4.082,3.9747,4.1807,209000.0,126.4,8829.0,126.9,141.8
232,578.33936,4.0423,3.9747,4.2619,570000.0,18870.0,21080.0,18690.0,19810.0
236,591.3596,4.0856,4.0366,4.2092,218800.0,7431.0,5969.0,7182.0,7004.0
237,901.94066,4.1642,4.0134,4.229,368500.0,,222.8,26990.0,240.7
238,608.38613,4.0856,4.0323,4.5373,4168000.0,174400.0,139800.0,173600.0,166800.0
239,636.41725,4.0856,4.0467,4.1519,235800.0,8275.0,7003.0,7696.0,7745.0
241,415.2542,4.0891,4.0467,4.2579,845200.0,37890.0,29630.0,38080.0,38280.0
242,443.24929,4.0891,4.0366,4.3749,2424000.0,112600.0,97320.0,118000.0,121400.0
243,460.2759,4.0891,4.0323,4.7614,24890000.0,1212000.0,1122000.0,1257000.0,1350000.0
244,465.23128,4.0928,4.0467,4.252,377900.0,17570.0,14920.0,17300.0,16130.0
245,488.30731,4.0928,4.0366,4.4331,2578000.0,116300.0,110900.0,128300.0,128400.0
246,463.2838,4.0928,4.0422,4.2166,145300.0,5728.0,5050.0,6448.0,6303.0
248,460.31055,4.1035,3.9124,4.229,196100.0,13110.0,12940.0,16110.0,13720.0
251,622.36565,4.136,4.0754,4.2331,362200.0,12860.0,13130.0,14630.0,15080.0
252,551.33667,4.3046,4.252,4.4606,224100.0,8320.0,7238.0,9003.0,9717.0
253,619.28727,4.1432,4.0278,4.2435,277400.0,13900.0,21460.0,24550.0,26100.0
255,474.25536,4.1576,4.1015,4.3338,1183000.0,45520.0,44230.0,51950.0,55240.0
256,502.28654,4.1612,4.1,4.2907,239100.0,7360.0,9346.0,10580.0,11390.0
259,652.41255,4.1685,4.1187,4.458,2456000.0,106100.0,86630.0,113700.0,114100.0
260,448.23352,4.1828,4.1086,4.4156,497500.0,19020.0,15640.0,51020.0,47800.0
263,487.27555,4.2042,4.1519,4.495,1949000.0,82330.0,71510.0,88440.0,93020.0
264,504.30215,4.2042,4.1432,4.8095,28100000.0,1381000.0,1232000.0,1479000.0,1532000.0
265,532.33332,4.2042,4.1432,4.4475,2227000.0,92300.0,85970.0,100500.0,109400.0
266,509.25744,4.2078,4.1619,4.3383,345300.0,15760.0,13580.0,15650.0,16650.0
267,507.31038,4.2042,4.1519,4.3527,223400.0,9052.0,7261.0,9306.0,9356.0
268,504.34023,4.2114,4.1664,4.3174,213700.0,8703.0,7143.0,10180.0,10060.0
