row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,CPD-D-60m.mzML Peak area,CPD-H-60m.mzML Peak area,CPD-M-60m.mzML Peak area,CPD-R-60m.mzML Peak area,
247,619.3228866115807,4.2390156,,,,,,,,,,,21524.258,21311.764,25492.191,26539.027,
248,566.4279501666681,4.2390156,,,,,,,,,,,8114.53,8125.06,8955.721,10894.01,
249,696.4379655537131,4.242621,,,,,,,,,,,32017.14,23325.516,34008.17,30513.26,
250,518.2813696739155,4.2678003,,,,,,,,,,,53554.99,51665.85,60233.324,61835.574,
251,435.2203135127922,4.2822275,,,,,,,,,,,18936.584,16857.678,19780.744,20389.902,
252,551.3364210913616,4.307415,,,,,,,,,,,7705.002,7838.855,8683.764,8931.8125,
253,548.3284140722187,4.307415,,,,,,,,,,,1118987.5,996509.06,1179442.1,1179337.9,
254,553.2832725136559,4.3110123,,,,,,,,,,,11654.065,9871.463,11933.839,12595.122,
255,576.3593477762163,4.3110123,,,,,,,,,,,64118.92,52478.434,65535.41,65047.543,
256,443.28524446925826,4.3181844,,,,,,,,,,,36790.207,35358.668,38727.0,38633.54,
257,460.31151012933384,4.332566,,,,,,,,,,,35410.348,34163.02,36925.31,39014.38,
258,559.3017290597782,4.350558,,,,,,,,,,,29787.502,33416.914,31993.135,36738.61,
259,562.3073457923542,4.3684235,,,,,,,,,,,54157.598,54897.59,55149.8,60134.996,
260,383.19127475026943,4.3789463,,,,,,,,,,,17124.768,16391.414,15790.681,15417.115,
261,355.1961575973602,4.3824415,,,,,,,,,,,48241.348,46445.195,44872.95,52230.54,
262,400.21793180000657,4.3824415,,,,,,,,,,,2219219.8,2167667.5,2180664.2,2345253.5,
263,428.24917808860715,4.3824415,,,,,,,,,,,268749.7,253204.1,252163.27,311184.53,
264,405.1729512419729,4.3824415,,,,,,,,,,,43092.496,57397.08,54204.1,49713.23,
265,597.3091880040902,4.3966417,,,,,,,,,,,9409.064,10533.379,7867.425,11039.748,
266,575.3276454015821,4.3966417,,,,,,,,,,,28385.656,26164.232,25135.566,30903.684,
267,592.3543506170347,4.3966417,,,,,,,,,,,954966.2,873352.3,887618.3,1011251.06,
268,620.3852877980034,4.3966417,,,,,,,,,,,46177.387,40943.133,41749.586,49948.29,
269,595.362148111976,4.3966417,,,,,,,,,,,9020.002,8063.1616,8400.93,9646.413,
270,476.2279277237403,4.400236,,,,,,,,,,,22306.299,20389.514,20933.154,22333.79,
271,487.3113604740583,4.4145985,,,,,,,,,,,51669.992,48661.33,48342.83,54386.71,
272,752.8756413874282,4.393119,,,,,,,,,,,229.78552,93.04657,15722.934,210.62737,
273,753.0887680918725,4.471503,,,,,,,,,,,452.90335,124.59793,9247.544,266.28494,
274,504.3380213389944,4.424999,,,,,,,,,,,54469.074,54176.48,52175.434,59390.35,
275,647.3178453425955,4.424999,,,,,,,,,,,14463.208,15639.65,12930.653,16131.169,
277,606.3335450229491,4.4574366,,,,,,,,,,,44532.7,46228.18,42105.61,47627.402,
278,434.3115184187468,4.464613,,,,,,,,,,,4174.92,19416.676,1069.3588,2671.5532,
279,619.3536880557348,4.4825377,,,,,,,,,,,18270.158,13707.4795,14554.33,16488.117,
280,636.3804897556417,4.4825377,,,,,,,,,,,708008.4,573895.9,612988.06,636669.56,
281,664.4114307461948,4.4825377,,,,,,,,,,,27265.51,20201.637,23049.027,25108.363,
282,518.317302168055,4.489542,,,,,,,,,,,17315.738,24361.035,22580.264,26253.951,
283,531.3376206879559,4.5000186,,,,,,,,,,,46732.863,47263.348,43719.434,48101.426,
284,449.1990270652712,4.503397,,,,,,,,,,,31894.557,31127.908,38340.934,31318.854,
285,371.22748684102874,4.503397,,,,,,,,,,,24330.744,22101.535,20464.744,23365.293,
286,399.22255200925747,4.503397,,,,,,,,,,,81695.6,79065.55,70078.01,80978.07,
287,427.2175630131566,4.503397,,,,,,,,,,,29054.807,29390.62,27635.498,29403.955,
288,444.24416293470875,4.503397,,,,,,,,,,,2855361.0,2911358.0,2750541.2,2911907.8,
289,472.27537205920214,4.503397,,,,,,,,,,,194546.64,189943.14,178830.34,197784.19,
290,548.363793007183,4.503397,,,,,,,,,,,85640.98,89230.59,84081.02,91561.06,
291,447.25173725206423,4.503397,,,,,,,,,,,15580.997,15690.669,14812.145,15868.449,
292,576.3952088441988,4.503414,,,,,,,,,,,19854.938,17541.252,17348.03,18885.8,
293,539.2619003922852,4.524476,,,,,,,,,,,4309.286,9681.41,12624.227,5056.7065,
294,650.3598836259737,4.538931,,,,,,,,,,,40075.125,38421.78,37984.11,42127.594,
295,680.4069271171812,4.5569434,,,,,,,,,,,268060.22,181053.58,227811.72,220677.02,
296,388.33645255289554,4.629574,,,,,,,,,,,0,111205.86,0,52.472027,
297,575.3642318187276,4.58216,,,,,,,,,,,34373.453,32818.727,33049.523,35586.645,
298,476.2641056825535,4.5857515,,,,,,,,,,,32818.18,28223.693,31497.041,31365.777,
299,562.3434569676657,4.592875,,,,,,,,,,,35496.684,37304.184,34029.094,43078.094,
300,448.23315881122727,4.453836,,,,,,,,,,,79741.87,62211.617,74220.71,75840.695,
301,592.3903622202967,4.5997615,,,,,,,,,,,119505.08,115745.04,121032.836,124122.39,
302,416.3000991643354,4.6641693,,,,,,,,,,,26326.273,21417.268,4438.1646,6745.6206,
303,491.2781663122863,4.6104574,,,,,,,,,,,21526.316,20664.1,20548.69,19660.97,
304,493.22548483953653,4.6104574,,,,,,,,,,,32011.234,24390.72,22565.785,29068.713,
305,443.2487771818634,4.6104574,,,,,,,,,,,44434.19,46429.574,46283.836,43449.375,
306,471.2436973214031,4.6104574,,,,,,,,,,,28524.998,30893.887,29772.441,28705.23,
307,488.27047674049334,4.6104574,,,,,,,,,,,2952650.5,3013809.0,3038934.2,3006045.5,
308,516.3016662835013,4.6104574,,,,,,,,,,,125839.83,120648.79,131024.48,125093.39,
309,694.38589738666,4.617418,,,,,,,,,,,21008.676,15512.308,18974.916,17950.352,
310,374.35295887882575,4.556885,,,,,,,,,,,0,20747.08,90.087135,0,
311,724.4324897979246,4.6244764,,,,,,,,,,,63016.293,39931.094,54618.68,45605.188,
312,476.22822241485835,4.6104574,,,,,,,,,,,579965.3,548955.3,570348.4,563888.94,
313,606.3696921891565,4.682145,,,,,,,,,,,43202.96,49340.01,41707.656,41578.133,
314,636.4166449637929,4.6964254,,,,,,,,,,,104548.32,85786.32,94261.12,89043.13,
315,576.3603734933129,4.6892858,,,,,,,,,,,43501.344,47964.273,43504.37,43101.324,
316,845.214165233579,4.7537174,,,,,,,,,,,393.60968,109.410484,455.28546,26793.47,
317,487.27519613137576,4.710456,,,,,,,,,,,22497.434,23745.816,23187.832,24747.11,
318,515.270111385943,4.710456,,,,,,,,,,,25076.846,28096.451,25610.0,25925.307,
319,532.2969251257084,4.710456,,,,,,,,,,,2625609.2,2825632.0,2648287.0,2661027.2,
320,537.251583211058,4.710456,,,,,,,,,,,19309.21,20966.965,18162.209,20933.332,
321,560.3277474496381,4.710456,,,,,,,,,,,88048.69,101795.445,91104.17,95972.7,
322,535.3045351431444,4.710456,,,,,,,,,,,21901.705,22745.623,21285.938,23002.86,
323,386.32641065728865,4.7181287,,,,,,,,,,,96.63345,47946.258,0,0,
324,680.4427271613997,4.724663,,,,,,,,,,,45692.637,37065.137,40579.367,37290.074,
325,650.3951352963949,4.73194,,,,,,,,,,,34699.652,29206.402,31284.28,31010.945,
326,894.8106585849665,4.778534,,,,,,,,,,,274.0346,534.2842,462.11053,17485.727,
327,620.3870358814835,4.7571607,,,,,,,,,,,43108.46,42731.23,41651.293,45147.715,
329,789.4731908970946,4.7465253,,,,,,,,,,,218.948,187.70552,22908.457,471.59988,
330,581.2778055135838,4.7964444,,,,,,,,,,,17418.15,17678.49,20172.0,20699.615,
331,750.0003511725063,4.7748804,,,,,,,,,,,252.84282,231.85635,20910.498,538.26306,
332,833.104214065228,4.8215656,,,,,,,,,,,638.41327,389.32404,14023.196,221.71815,
333,559.2965918466917,4.7964444,,,,,,,,,,,21334.37,29028.531,24102.45,25877.316,
334,576.3231400187674,4.7964444,,,,,,,,,,,1919094.0,2441867.5,2091950.9,2292272.8,
335,604.3539725375456,4.7964444,,,,,,,,,,,62357.074,81388.38,63340.797,72334.14,
336,531.3016652707486,4.7964444,,,,,,,,,,,13082.021,13419.922,14596.473,14328.808,
338,504.2592602314061,4.7999635,,,,,,,,,,,21387.537,24442.78,24329.041,22818.682,
339,495.2716931504853,4.8107085,,,,,,,,,,,2705.2832,4758.002,21416.494,2514.1318,
340,833.26948278024,4.8681536,,,,,,,,,,,380.07513,183.87167,29953.326,452.437,
341,575.2605288146733,4.81431,,,,,,,,,,,18736.523,27790.268,29458.639,28051.143,
342,504.22316598392223,4.8251276,,,,,,,,,,,541106.8,215217.33,449493.1,571722.4,
343,664.4116901052998,4.8251276,,,,,,,,,,,22799.988,19388.656,21599.604,21408.408,
344,476.26426037983055,4.857519,,,,,,,,,,,41158.965,40901.453,35720.016,39309.66,
345,603.322604497009,4.871689,,,,,,,,,,,21825.02,25019.504,21904.715,22326.158,
346,620.3493837172111,4.871689,,,,,,,,,,,1664536.4,1810377.1,1609072.4,1756220.1,
347,648.3803035229746,4.871689,,,,,,,,,,,47122.74,50929.7,43668.586,49954.367,
348,625.3041176083033,4.8752365,,,,,,,,,,,13068.46,15959.148,13540.78,15746.171,
349,509.28745672203684,4.882349,,,,,,,,,,,24027.2,5514.2544,40435.203,4300.5947,
351,358.33161163175555,4.883208,,,,,,,,,,,53.40175,11128.855,0,0,
352,520.2544370024636,4.932834,,,,,,,,,,,8663.961,7896.1104,6440.819,7598.587,
354,692.4067988437355,4.9400373,,,,,,,,,,,21449.084,18532.291,15273.42,17906.129,
355,664.3758450671703,4.9436374,,,,,,,,,,,776041.7,622880.0,544503.94,655721.75,
356,647.3488109874314,4.9400373,,,,,,,,,,,12308.167,9321.906,8760.507,10345.901,
357,683.2283656441527,4.976112,,,,,,,,,,,233.5165,96.40413,15484.918,176.21704,
358,715.8128443007546,5.001305,,,,,,,,,,,242.48795,363.7737,11192.931,495.64502,
359,834.8875957920654,5.008545,,,,,,,,,,,475.1043,1515.9866,32424.08,655.9884,
360,884.0018754129694,5.0481844,,,,,,,,,,,310.3072,149.01083,27412.14,346.4168,
362,393.20358378457075,4.958073,,,,,,,,,,,12912.625,9715.714,2403.267,3793.3672,
363,715.8627811593468,4.9150186,,,,,,,,,,,248.76443,243.52524,23499.447,331.32916,
364,751.4479856755772,4.994192,,,,,,,,,,,369.41772,416.79425,33066.01,262.9521,
365,790.8884411355384,4.965283,,,,,,,,,,,658.7445,434.1882,19905.855,337.0216,
366,834.8288690542572,4.997718,,,,,,,,,,,492.87335,545.78546,26864.717,866.8037,
367,883.8805898882782,4.9473476,,,,,,,,,,,329.34918,360.11932,25815.896,277.59854,
368,476.22847568869685,4.9978495,,,,,,,,,,,277548.97,256311.34,113343.2,233031.36,
369,751.392087829068,4.954619,,,,,,,,,,,234.57281,392.49033,17483.002,620.56226,
370,834.7693533879493,4.9439077,,,,,,,,,,,423.286,270.76846,27104.936,884.4737,
371,504.2597788712343,5.012204,,,,,,,,,,,302691.22,283946.2,172089.06,263066.7,
372,505.2627738919998,5.012204,,,,,,,,,,,93906.984,91208.16,42976.89,79482.95,
373,708.4022006804848,5.012204,,,,,,,,,,,208571.34,152981.3,187518.38,158026.78,
374,491.2407854473297,5.0374713,,,,,,,,,,,1505.0349,7537.8647,1653.782,1208.4191,
375,603.2921808374122,5.0446806,,,,,,,,,,,14013.01,14593.908,7991.831,12038.199,
376,416.30071357251643,5.048309,,,,,,,,,,,32632.719,8491.66,1016.7919,5135.634,
377,752.4282843578817,5.0699754,,,,,,,,,,,95273.41,57906.332,65061.387,80977.98,
379,466.19965383493354,5.062681,,,,,,,,,,,50819.96,46922.9,12038.185,43954.19,
380,822.9088292995825,5.1488795,,,,,,,,,,,662.3745,339.62036,15930.607,265.3233,
