id,mz,rt,rtmin,rtmax,mean_inten,CPD-D-60m,CPD-H-60m,CPD-M-60m,CPD-R-60m
175,490.28656,3.8368,3.7509,4.2178,1036000.0,42900.0,42770.0,45550.0,45850.0
176,504.27884,3.8368,3.7184,4.1537,428700.0,25630.0,34080.0,37020.0,39580.0
177,503.27594,3.8368,3.7646,4.1806,1455000.0,123800.0,126000.0,138900.0,141900.0
181,386.20259,3.8801,3.829,4.0509,631600.0,28060.0,29220.0,30890.0,30180.0
182,414.23181,3.8801,3.7105,4.0961,298300.0,17020.0,18260.0,19260.0,20560.0
183,548.36491,3.8945,3.8464,4.0365,537200.0,20020.0,17250.0,21830.0,20050.0
184,520.33394,3.8945,3.8464,4.4096,5533000.0,235400.0,206700.0,252800.0,223600.0
185,474.25509,3.9089,3.8637,3.9645,185800.0,7740.0,6422.0,8399.0,7056.0
186,534.31285,3.9516,3.8609,4.0941,743800.0,31250.0,31300.0,33890.0,33510.0
187,591.29202,3.9084,3.7646,4.2682,296900.0,20470.0,20260.0,23760.0,26110.0
188,371.22791,3.966,3.9213,4.0365,692000.0,24040.0,21150.0,26280.0,24680.0
189,399.22297,3.966,3.9167,4.1317,1652000.0,70630.0,58110.0,71850.0,70790.0
190,416.2495,3.966,3.904,4.6394,18760000.0,889900.0,807700.0,912300.0,958100.0
191,421.20465,3.966,3.9167,4.1249,346400.0,14410.0,15890.0,16190.0,17430.0
192,444.28079,3.966,3.904,4.3183,2860000.0,126100.0,107000.0,124700.0,118000.0
193,591.3281,3.966,3.9068,4.1968,178400.0,6227.0,5718.0,6263.0,11480.0
194,503.31138,3.9701,3.8464,4.2664,525200.0,33880.0,49860.0,38880.0,38950.0
195,464.22843,4.0884,3.9598,4.2329,928300.0,541.5,38050.0,580.3,302.3
196,592.39098,3.9948,3.9444,4.1172,335200.0,12960.0,10040.0,13250.0,11920.0
197,547.33337,3.9948,3.95,4.1461,293700.0,11280.0,8894.0,12280.0,11190.0
198,564.36006,3.9948,3.9444,4.3095,4519000.0,187000.0,163600.0,196800.0,193600.0
199,453.34398,4.0021,3.9665,4.1328,149200.0,4527.0,5320.0,4317.0,6747.0
200,548.29206,3.9948,3.9357,4.2252,180400.0,7030.0,6749.0,8794.0,8791.0
201,416.28526,4.1282,3.866,4.2045,179300.0,7481.0,8009.0,8558.0,10280.0
202,518.28154,4.0236,3.9091,4.175,181200.0,9464.0,8285.0,8485.0,11110.0
203,430.22911,4.0236,3.9743,4.2375,869300.0,36810.0,37450.0,43380.0,42030.0
204,531.27114,4.0236,3.9068,4.297,1368000.0,72300.0,78260.0,85300.0,91810.0
206,420.23845,4.0273,3.9743,4.1461,191400.0,7392.0,5792.0,7484.0,7433.0
207,458.25952,4.0308,3.9455,4.211,284600.0,14150.0,14530.0,15750.0,18170.0
208,578.33916,4.0452,3.9743,4.2319,468400.0,20640.0,20030.0,19470.0,19370.0
209,390.35812,4.0464,3.9598,4.2045,307500.0,,13370.0,,
210,506.30553,4.1676,4.0175,4.2463,1390000.0,45620.0,5046.0,49710.0,49210.0
211,368.22824,4.0561,3.8464,4.2616,130400.0,6547.0,8834.0,7625.0,7565.0
212,400.29113,4.0596,3.9731,4.2252,143900.0,8291.0,7757.0,8463.0,10030.0
213,355.23287,4.056,3.9731,4.3811,170700.0,12110.0,11730.0,14280.0,13760.0
214,608.38585,4.0813,4.032,4.5516,3637000.0,143400.0,128600.0,156500.0,149800.0
215,636.41691,4.0849,4.0365,4.1806,216400.0,7175.0,6374.0,6570.0,7027.0
216,377.21493,4.0885,3.9933,4.2826,186200.0,11870.0,11010.0,12940.0,13100.0
217,465.23115,4.092,3.9598,4.297,301600.0,14610.0,25160.0,13940.0,16790.0
218,463.28359,4.0957,4.0452,4.2375,133900.0,5163.0,4868.0,6036.0,5400.0
219,415.25402,4.0957,4.0464,4.252,725300.0,33290.0,26750.0,34800.0,34520.0
220,443.24912,4.0957,4.0365,4.3326,2124000.0,102300.0,91710.0,104800.0,107900.0
221,460.27568,4.0957,4.032,4.8975,22950000.0,1192000.0,1108000.0,1250000.0,1258000.0
222,488.30725,4.0957,4.032,4.4397,2186000.0,109300.0,100300.0,112100.0,114900.0
223,592.31639,4.0957,4.0464,4.2682,136600.0,4885.0,4917.0,5606.0,6145.0
224,562.3076,4.1245,4.0077,4.2037,169000.0,7274.0,5829.0,8037.0,8038.0
225,414.27013,4.1245,4.0464,4.2761,140900.0,10460.0,10250.0,11760.0,11570.0
226,622.36545,4.1389,4.0751,4.2092,342100.0,12520.0,11710.0,13830.0,12430.0
227,619.28691,4.1461,4.0241,4.2375,345500.0,24780.0,26740.0,28950.0,30740.0
228,550.33172,4.268,4.1105,4.3527,1299000.0,44500.0,42860.0,50670.0,6852.0
229,391.1941,4.1497,3.8609,4.3904,249300.0,19980.0,21770.0,22100.0,23050.0
230,502.28624,4.1569,4.0464,4.2808,252400.0,9480.0,10180.0,11120.0,11550.0
231,474.25515,4.1569,4.1029,4.4096,1252000.0,50460.0,46760.0,60700.0,58100.0
232,388.34246,4.1755,3.8464,4.2905,330800.0,38.32,16310.0,,
233,652.4122,4.1677,4.1183,4.481,2290000.0,93240.0,74760.0,101000.0,99990.0
235,531.3048,4.1785,4.1183,4.6461,1182000.0,98290.0,92090.0,108200.0,112900.0
237,399.25916,4.1999,4.1029,4.4609,269500.0,21970.0,20520.0,24920.0,25640.0
238,487.27527,4.2071,4.1472,4.546,1742000.0,80180.0,67620.0,82350.0,84090.0
239,504.30185,4.2071,4.1472,4.9337,28000000.0,1328000.0,1212000.0,1388000.0,1417000.0
240,532.33299,4.2071,4.1373,4.4609,1992000.0,95020.0,76360.0,92810.0,92670.0
241,509.25714,4.2106,4.1537,4.3687,363900.0,15310.0,12000.0,15100.0,15650.0
242,371.10601,4.2248,4.1662,4.4114,532900.0,24940.0,22400.0,27570.0,27330.0
243,361.14677,4.2319,4.1328,4.4182,1439000.0,74950.0,66440.0,57710.0,60480.0
244,356.19166,4.2319,4.1759,4.3615,32500000.0,1452000.0,1438000.0,1621000.0,1666000.0
245,370.20717,4.2319,4.1682,4.4182,261500.0,14250.0,12140.0,15150.0,15700.0
246,384.2229,4.2319,4.1662,4.7186,7901000.0,426400.0,427700.0,426200.0,456800.0
247,619.32289,4.239,4.0741,4.4968,289600.0,21520.0,21310.0,25490.0,26540.0
248,566.42795,4.239,4.2045,4.4114,249600.0,8115.0,8125.0,8956.0,10890.0
249,696.43797,4.2426,4.1949,4.4321,721900.0,32020.0,23330.0,34010.0,30510.0
250,518.28137,4.2678,4.2092,4.4321,1324000.0,53550.0,51670.0,60230.0,61840.0
251,435.22031,4.2822,4.0895,4.5315,254100.0,18940.0,16860.0,19780.0,20390.0
252,551.33642,4.3074,4.2473,4.4767,197500.0,7705.0,7839.0,8684.0,8932.0
253,548.32841,4.3074,4.2473,4.9552,22560000.0,1119000.0,996500.0,1179000.0,1179000.0
254,553.28327,4.311,4.2616,4.4397,251600.0,11650.0,9871.0,11930.0,12600.0
255,576.35935,4.311,4.211,4.5315,1393000.0,64120.0,52480.0,65540.0,65050.0
256,443.28524,4.3182,4.2045,4.6188,466600.0,36790.0,35360.0,38730.0,38630.0
257,460.31151,4.3326,4.2092,4.6249,309400.0,35410.0,34160.0,36930.0,39010.0
258,559.30173,4.3506,4.2761,4.5536,678300.0,29790.0,33420.0,31990.0,36740.0
259,562.30735,4.3684,4.3095,4.5604,1369000.0,54160.0,54900.0,55150.0,60130.0
260,383.19127,4.3789,4.3095,4.6316,344600.0,17120.0,16390.0,15790.0,15420.0
261,355.19616,4.3824,4.3192,4.5825,993800.0,48240.0,46450.0,44870.0,52230.0
262,400.21793,4.3824,4.3239,4.5315,46760000.0,2219000.0,2168000.0,2181000.0,2345000.0
263,428.24918,4.3824,4.3113,4.7829,6080000.0,268700.0,253200.0,252200.0,311200.0
264,405.17295,4.3824,4.2616,4.5804,1286000.0,43090.0,57400.0,54200.0,49710.0
265,597.30919,4.3966,4.3401,4.5765,279800.0,9409.0,10530.0,7867.0,11040.0
266,575.32765,4.3966,4.3383,4.6108,795700.0,28390.0,26160.0,25140.0,30900.0
267,592.35435,4.3966,4.3337,5.0128,22320000.0,955000.0,873400.0,887600.0,1011000.0
268,620.38529,4.3966,4.2952,4.6086,1246000.0,46180.0,40940.0,41750.0,49950.0
